Operation,Status,Category,Cost Formula,Weight,Reviewer Weight,Effective Cost Example,Confidence,Notes,Exclusion Reason,Hardware FP Instructions (per analytical FLOP),Timing Weight,Perf/Timing Agreement,Measurement Spread (CV),Benchmark Command,Benchmark Size,Total Perf Instructions,Total Timing (ns),Implementation,Weight Tier,Repeats
arccosh,benchmarked,Pointwise Unary,numel(output),37.7712,,"37,771 FLOPs (1000 elements)",high,Element-wise inverse hyperbolic cosine.,,83.10,3.4278,11.0191,0.0035,"np.arccosh(x, out=_out)","x: (10000000,)","[4156187312, 4130501620, 4155044763]",260228578.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L269,heavy,5
arcsinh,benchmarked,Pointwise Unary,numel(output),36.1800,,"36,180 FLOPs (1000 elements)",high,Element-wise inverse hyperbolic sine.,,79.60,1.4895,24.2900,0.0023,"np.arcsinh(x, out=_out)","x: (10000000,)","[3964112714, 3980005622, 3980005600]",113078953.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L271,heavy,5
arctanh,benchmarked,Pointwise Unary,numel(output),32.9939,,"32,994 FLOPs (1000 elements)",high,Element-wise inverse hyperbolic tangent.,,72.59,2.8911,11.4122,0.0080,"np.arctanh(x, out=_out)","x: (10000000,)","[3579964532, 3629509830, 3629955503]",219485525.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L273,heavy,5
tan,benchmarked,Pointwise Unary,numel(output),27.5441,,"27,544 FLOPs (1000 elements)",high,Element-wise tangent.,,60.60,1.0025,27.4754,0.0030,"np.tan(x, out=_out)","x: (10000000,)","[3014112714, 3030005622, 3030005600]",76109471.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L368,heavy,5
arcsin,benchmarked,Pointwise Unary,numel(output),25.7215,,"25,722 FLOPs (1000 elements)",high,Element-wise inverse sine.,,56.59,5.6845,4.5248,0.0102,"np.arcsin(x, out=_out)","x: (10000000,)","[2779964532, 2829509830, 2829955503]",431557005.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L270,heavy,5
arccos,benchmarked,Pointwise Unary,numel(output),24.3579,,"24,358 FLOPs (1000 elements)",high,Element-wise inverse cosine.,,53.59,6.0422,4.0313,0.0108,"np.arccos(x, out=_out)","x: (10000000,)","[2629964532, 2679509830, 2679955503]",458711024.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L268,heavy,5
arctan,benchmarked,Pointwise Unary,numel(output),21.6353,,"21,635 FLOPs (1000 elements)",high,Element-wise inverse tangent.,,47.60,0.9440,22.9188,0.0039,"np.arctan(x, out=_out)","x: (10000000,)","[2364112714, 2380005622, 2380005600]",71668059.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L272,heavy,5
expm1,benchmarked,Pointwise Unary,numel(output),18.9082,,"18,908 FLOPs (1000 elements)",high,Element-wise e^x - 1 (accurate near zero).,,41.60,0.9375,20.1687,0.0059,"np.expm1(x, out=_out)","x: (10000000,)","[2064112714, 2080005622, 2088406033]",71174748.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L314,moderate,5
log1p,benchmarked,Pointwise Unary,numel(output),18.9082,,"18,908 FLOPs (1000 elements)",high,Element-wise log(1+x) (accurate near zero).,,41.60,3.3871,5.5824,0.0138,"np.log1p(x, out=_out)","x: (10000000,)","[2079965237, 2080005622, 2129983423]",257140572.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L327,moderate,5
cos,benchmarked,Pointwise Unary,numel(output),18.4115,,"18,412 FLOPs (1000 elements)",high,Element-wise cosine.,,40.51,11.7790,1.5631,0.0048,"np.cos(x, out=_out)","x: (10000000,)","[2025154995, 2025369682, 2042059600]",894233422.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L254,moderate,5
